STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-01,76,81,68,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-02,75,82,68,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-03,75,82,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-04,76,84,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-05,77,82,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-06,77,83,74,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-07,78,82,72,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-08,75,82,71,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-09,75,80,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-10,75,82,71,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-11,76,81,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-12,76,77,72,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-13,76,81,75,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-14,77,81,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-15,76,82,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-16,75,82,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-17,74,80,69,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-18,74,80,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-19,74,82,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-20,76,81,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-21,74,82,65,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-22,73,80,65,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-23,72,80,64,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-24,73,81,65,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-25,75,84,68,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-26,76,85,69,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-27,75,83,66,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-28,73,84,64,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-29,76,83,68,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-30,75,83,68,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-01-31,76,84,69,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-01,77,83,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-02,72,83,66,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-03,76,84,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-04,75,82,67,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-05,74,79,68,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-06,72,74,69,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-07,70,77,62,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-08,69,79,60,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-09,71,80,63,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-10,69,75,62,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-11,69,80,65,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-12,72,82,64,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-13,77,87,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-14,79,84,74,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-15,77,84,72,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-16,77,82,72,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-17,76,83,72,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-18,75,83,72,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-19,75,82,71,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-20,75,80,71,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-21,75,83,71,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-22,75,83,67,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-23,74,84,67,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-24,74,83,63,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-25,76,83,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-26,77,83,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-27,76,81,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-28,74,81,69,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-02-29,74,81,68,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-01,74,80,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-02,74,81,69,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-03,74,83,68,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-04,76,84,69,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-05,74,84,66,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-06,74,82,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-07,74,82,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-08,75,81,71,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-09,73,80,68,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-10,72,82,66,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-11,73,82,65,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-12,73,77,69,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-13,72,80,68,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-14,74,83,69,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-15,76,81,71,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-16,77,81,72,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-17,74,76,68,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-18,73,81,68,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-19,72,76,69,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-20,73,80,67,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-21,75,83,69,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-22,77,83,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-23,76,82,71,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-24,75,80,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-25,73,80,68,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-26,74,79,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-27,73,79,68,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-28,73,82,66,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-29,75,82,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-30,76,82,72,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-03-31,75,82,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-01,74,81,67,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-02,74,82,66,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-03,75,80,68,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-04,75,83,69,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-05,76,83,69,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-06,76,80,71,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-07,75,83,69,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-08,76,81,68,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-09,74,81,66,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-10,76,82,69,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-11,77,85,71,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-12,76,84,69,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-13,77,85,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-14,76,81,68,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-15,78,86,74,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-16,78,85,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-17,78,86,71,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-18,76,84,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-19,76,81,68,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-20,75,81,68,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-21,76,81,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-22,75,83,68,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-23,79,83,75,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-24,77,84,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-25,78,85,72,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-26,78,85,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-27,78,85,72,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-28,78,85,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-29,77,83,71,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-04-30,78,85,75,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-01,79,85,74,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-02,79,85,75,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-03,79,85,74,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-04,79,86,74,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-05,79,86,74,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-06,78,86,72,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-07,77,84,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-08,76,83,69,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-09,76,85,69,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-10,78,86,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-11,78,85,72,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-12,78,86,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-13,77,85,71,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-14,77,83,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-15,76,88,71,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-16,80,88,74,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-17,80,88,74,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-18,78,82,72,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-19,79,86,75,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-20,79,86,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-21,78,86,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-22,79,87,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-23,78,87,71,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-24,79,88,71,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-25,78,84,70,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-26,77,85,71,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-27,78,85,72,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-28,78,86,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-29,80,88,75,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-30,80,87,72,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-05-31,80,88,74,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-01,80,89,75,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-02,81,89,75,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-03,81,89,75,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-04,82,88,77,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-05,81,88,74,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-06,81,88,75,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-07,80,88,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-08,81,88,76,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-09,80,87,74,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-10,81,88,75,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-11,81,87,77,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-12,80,87,77,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-13,81,88,76,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-14,80,86,76,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-15,80,87,75,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-16,79,86,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-17,79,87,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-18,80,88,75,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-19,80,86,74,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-20,79,88,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-21,79,86,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-22,80,88,75,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-23,80,87,72,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-24,80,90,75,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-25,80,89,75,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-26,82,89,76,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-27,81,87,75,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-28,80,89,73,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-29,80,89,74,
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",2020-06-30,82,89,76,
